t_binance_ms,t_received_ns,t_sent_ns
1777485040277,1777485040226743437,1777485040226919515
1777485040277,1777485040227717446,1777485040227844369
1777485040277,1777485040228229226,1777485040228331323
1777485040277,1777485040228854769,1777485040229014694
1777485040277,1777485040230075645,1777485040230238760
1777485040277,1777485040230803783,1777485040230981356
1777485040277,1777485040232410812,1777485040232537635
1777485040277,1777485040232866559,1777485040233523409
1777485040277,1777485040234213759,1777485040234399707
1777485040277,1777485040234918766,1777485040235548497
1777485040277,1777485040236074635,1777485040236246524
1777485040277,1777485040236902976,1777485040236995601
1777485040277,1777485040237249447,1777485040237312859
1777485040277,1777485040237906297,1777485040238092843
1777485040277,1777485040238857274,1777485040238980009
1777485040277,1777485040239480623,1777485040239611235
1777485040277,1777485040240358517,1777485040240457124
1777485040277,1777485040241296731,1777485040241457853
1777485040277,1777485040242700663,1777485040242835363
1777485040277,1777485040243643863,1777485040243751942
1777485040277,1777485040244007085,1777485040244099411
1777485040277,1777485040245678423,1777485040245974344
1777485040277,1777485040248403233,1777485040248574824
1777485040277,1777485040249205651,1777485040249379136
1777485040277,1777485040249883040,1777485040250064501
1777485040277,1777485040251241308,1777485040251450487
1777485040277,1777485040252053098,1777485040252150808
1777485040277,1777485040252641850,1777485040252734375
1777485040277,1777485040252970075,1777485040253044255
1777485040277,1777485040253221928,1777485040253300793
1777485040277,1777485040253459821,1777485040253535596
1777485040277,1777485040253760728,1777485040253893035
1777485040277,1777485040254033917,1777485040254162934
1777485040277,1777485040254581491,1777485040254695154
1777485040277,1777485040254877313,1777485040255004136
1777485040277,1777485040255335353,1777485040255449016
1777485040277,1777485040255641444,1777485040255798678
1777485040277,1777485040255997787,1777485040256066582
1777485040277,1777485040256240765,1777485040256308265
1777485040277,1777485040256493615,1777485040256558721
1777485040277,1777485040256754739,1777485040256818350
1777485040277,1777485040257002404,1777485040257066215
1777485040277,1777485040257234415,1777485040257296730
1777485040277,1777485040257470016,1777485040257627548
1777485040277,1777485040259582145,1777485040259828813
1777485040277,1777485040262754527,1777485040263182058
1777485040277,1777485040264180593,1777485040264304525
1777485040277,1777485040264961176,1777485040265159687
1777485040277,1777485040265802179,1777485040265960011
1777485040277,1777485040266304787,1777485040267547597
1777485040277,1777485040268138443,1777485040268907460
1777485040277,1777485040269378960,1777485040270065223
1777485040277,1777485040270655969,1777485040270783790
1777485040277,1777485040271724995,1777485040272486335
1777485040277,1777485040272952152,1777485040274113903
1777485040277,1777485040274802957,1777485040274979035
1777485040277,1777485040275720035,1777485040275933401
1777485040277,1777485040276735520,1777485040276857558
1777485040277,1777485040277278009,1777485040278081225
1777485040277,1777485040278608759,1777485040278782543
1777485040277,1777485040279435305,1777485040279579776
1777485040277,1777485040280195648,1777485040280421776
1777485040277,1777485040281287506,1777485040281423303
1777485040277,1777485040281764789,1777485040282727132
1777485040277,1777485040283270718,1777485040283955086
1777485040277,1777485040284431672,1777485040285139869
1777485040277,1777485040285954152,1777485040286086558
1777485040277,1777485040286872027,1777485040287848428
1777485040277,1777485040288438077,1777485040289352463
1777485040277,1777485040290116793,1777485040290268942
1777485040277,1777485040291106954,1777485040291205561
1777485040277,1777485040292197217,1777485040292380373
1777485040277,1777485040293172123,1777485040293295955
1777485040277,1777485040293880021,1777485040294045031
1777485040277,1777485040294935388,1777485040295097706
1777485040277,1777485040295732422,1777485040295969318
1777485040277,1777485040297114120,1777485040297274842
1777485040277,1777485040298977288,1777485040299181981
1777485040277,1777485040300002644,1777485040300168252
1777485040277,1777485040300772060,1777485040300921217
1777485040277,1777485040301903202,1777485040302103108
1777485040277,1777485040303008221,1777485040303132153
1777485040277,1777485040303488595,1777485040304371673
